Oligo Number,Study (comments here),Chemistry,Oligo,Distance from Donor (position of 1st base relative to donor),Distance from acceptor (position of last base relative to acceptor),Length,ACP,Targeted exon,Exon Length,Exon Malueka Category,L1 (WeeEtal),L3 (WeeEtal),niscore,niscore_per_base,ACC_FL,ACC_LAST8,ACC_LAST15,ACC_BEST8,ACC_AVE,Skip level,% skip,Skip level (num),Skip or No skip,"Tm (for DNA to DNA, simple calc from http://www.promega.com/techserv/tools/biomath/calc11.htm)",%GC,GCs (number of),%GC 5' intron 200 bases upstream,%GC fold increase target over 5' intron,%GC increase target over 5' intron,Decrease in GC% due to blocking by oligo,Decrease in ratio of exon to intron %GC due to oligo blocking,%GC exon,Total GCs in exon,Total GCs in target,# exon GCs blocked by oligo,Length of exon when blocked by oligo,%GC of exon when blocked by oligo,Exon v intron %GC,Exon v intron %GC after blocking by oligo,Exon-oligo binding energy,"dG (TargetAsExon, RNAstructure)","dG (50BaseFlanksAroundTarget, RNA structure)","dG (100BaseFlanks, RNAstructure)","dG (200BaseFlanks, RNAstructure)","dG (ExonStartTo10BaseDownFromOligo, RNAstructure)",RNAeval target-oligo,oligo_oligo binding energy, Min free E (RNAcofold), Free E of ensemble (RNAcofold), dG TargetAsExon oligo::target (RNAcofold), dG 50bp flanks oligo::target (RNAcofold), dG 100bp flanks oligo::target (RNAcofold), dG 150bp flanks oligo::target (RNAcofold), Free E oligo dimer (RNAcofold), Free E target monomer (RNAcofold), Free E oligo monomer (RNAcofold)
290,2009 Popplewell,PMO,h45A30/6,9,137,30,0.861,45,176,A,,,17.5945,0.586,1.96E-08,0.04884086,0.02088618,0.06115105,0.410491665,None,0,0,0,64.3533333333,53,16,0.37,1.43,16,1.43,0.04,0.46,81,15.9,65.1,146,44.6,1.24,1.21,-42.4,-45,-45.2,-40.3,-38.2,-45,-62.3,-26.9,-81.2,-81.91,-43.07,-43.94,-40.18,-36.73,-25.260684,-31.114759,-6.85574
291,2009 Popplewell,PMO,h45A30/7,-12,158,30,0.98,45,176,A,,,9.9469,0.332,5.34E-06,0.005994471,0.001316093,0.3319818,0.610793318,Low (<10%),1.6,0,0,62.9866666667,50,15,0.37,1.35,13,0.82,0.02,0.46,81,15,66,146,45.2,1.24,1.22,-46.1,-22.6,-44.3,-44.9,-45.8,-52.1,-57.1,-4.7,-72.7,-76.28,-23.27,-39.04,-43.18,-41.82,-4.866309,-36.309004,-0.928731
292,2009 Popplewell,PMO,h46A7,123,0,25,0.081,46,148,C,,,9.2445,0.37,3.14E-05,0.1279743,0.02415996,0.1279743,0.422603919,Low (<10%),9.1,0,0,51.124,32,8,0.245,1.31,7.5,-0.64,-0.03,0.35,52,8,44,123,35.8,1.43,1.46,-34.8,-33.6,-20.5,-22.9,-17.8,-37,-36.9,-5.6,-45.8,-49.22,-31.99,-18.48,-17.33,-19.27,-5.234736,-29.374078,-1.36854
293,2009 Popplewell,PMO,h46A9,109,14,25,0.176,46,148,C,,,-0.30566,-0.012,0.001028068,0.01984661,0.004792392,0.1279743,0.493574264,Low (<10%),2.1,0,0,49.484,28,7,0.245,1.14,3.5,-1.45,-0.06,0.35,52,7,45,123,36.6,1.43,1.49,-31.5,-27.7,-21.2,-20.3,-14.7,-30.3,-35.2,-7.6,-49.5,-52.09,-27.99,-18.04,-18.97,-17.44,-7.341508,-31.645416,-2.406763
294,2009 Popplewell,PMO,h46A8,76,47,25,0.399,46,148,C,,,-8.2021,-0.328,1.93E-06,0.000618264,3.80E-05,0.0668837,0.321376031,Low (<10%),5.4,0,0,51.124,32,8,0.245,1.31,7.5,-0.64,-0.03,0.35,52,8,44,123,35.8,1.43,1.46,-28.6,-29.2,-32.3,-19,-25.7,-33.6,-37.8,0,-50.24,-52.87,-28.67,-29.12,-16.7,-17.1,0.514582,-23.744214,-0.005924
295,2009 Popplewell,PMO,h46A10,63,60,25,0.486,46,148,C,,,9.194,0.368,9.63E-07,0.05333986,0.000762149,0.1640861,0.400205708,None,0,0,0,54.404,40,10,0.245,1.63,15.5,0.99,0.04,0.35,52,10,42,123,34.1,1.43,1.39,-35.3,-35.3,-37,-28.9,-26.6,-36.6,-42.7,-1.7,-53.52,-56.92,-35.09,-35.55,-26.99,-24.61,-2.284858,-21.208489,-0.1668
296,2009 Popplewell,PMO,h46A1,38,85,25,0.655,46,148,C,,,8.04056,0.322,0.000263268,0.01795193,0.004354723,0.4046055,0.552395556,Low (<10%),8.3,0,0,57.684,48,12,0.245,1.96,23.5,2.62,0.11,0.35,52,12,40,123,32.5,1.43,1.33,-35.7,-36.3,-39,-39.7,-36.4,-37.4,-46.9,-11.9,-57.6,-60.05,-33.36,-34.1,-38.72,-33.76,-9.701501,-22.735016,-3.223571
297,2009 Popplewell,PMO,h46A30/1,33,85,30,0.672,46,148,C,,,13.04056,0.435,3.32E-05,0.03493332,0.000749978,0.4046055,0.55101825,Excellent (>50%),75.6,2,1,61.62,47,14,0.245,1.92,22.5,3.02,0.12,0.35,52,14.1,37.9,118,32.1,1.43,1.31,-43.5,-44.1,-42.9,-46.5,-42.1,-45.7,-55.8,-12.3,-66.2,-68.96,-40.89,-38.55,-45.29,-39.46,-10.308762,-26.84517,-3.568964
298,2009 Popplewell,PMO,h46A2,33,90,25,0.689,46,148,C,,,14.60216,0.584,0.000186072,0.03493332,0.000749978,0.4046055,0.57060708,Medium (10-30%),15.6,1,1,56.044,44,11,0.245,1.8,19.5,1.8,0.07,0.35,52,11,41,123,33.3,1.43,1.36,-31.2,-35,-34.2,-34.5,-31.1,-36.6,-44.2,-10.6,-54.8,-58.07,-33.55,-31.45,-34.72,-29.7,-9.665184,-23.26482,-3.357175
299,2009 Popplewell,PMO,h46A30/2,28,90,30,0.706,46,148,C,,,19.58866,0.653,0.000048186,0.01565003,0.001501888,0.4046055,0.55194184,Excellent (>50%),87.9,2,1,61.62,47,14,0.245,1.92,22.5,3.02,0.12,0.35,52,14.1,37.9,118,32.1,1.43,1.31,-49.1,-48.5,-46.7,-47.5,-43.5,-49.6,-56.8,-13.4,-68.5,-71.32,-46.31,-43.42,-47.31,-39.34,-12.731774,-24.212275,-3.682288
